d_model,num_layers,dim_feedforward,num_epochs,batch_size,lr,weight_decay,mean_val,std_val,val_seed0,val_seed1,val_seed2
64,1,128,200,128,0.003,0.0005,0.8150,0.0604,0.7300,0.8650,0.8500
16,1,256,200,64,0.001,0.0005,0.8717,0.0259,0.8350,0.8900,0.8900
16,1,64,200,128,0.001,0.0,0.6683,0.1875,0.5000,0.5750,0.9300
64,2,64,400,64,0.003,0.0005,0.8483,0.0249,0.8750,0.8550,0.8150
16,2,256,400,128,0.001,0.0,0.9217,0.0312,0.8800,0.9550,0.9300
16,2,256,100,128,0.001,0.0005,0.8550,0.0187,0.8300,0.8750,0.8600
16,2,128,400,64,0.003,0.0,0.8850,0.0471,0.9050,0.9300,0.8200
16,1,256,400,128,0.003,0.0005,0.8283,0.0278,0.7900,0.8550,0.8400
64,2,64,400,64,0.001,0.0005,0.8233,0.0047,0.8200,0.8200,0.8300
16,1,256,100,128,0.001,0.0,0.9133,0.0249,0.8800,0.9200,0.9400
64,1,256,200,64,0.003,0.0,0.9000,0.0286,0.8650,0.9350,0.9000
32,2,256,200,128,0.003,0.0005,0.8200,0.0294,0.7800,0.8300,0.8500
16,1,128,400,128,0.001,0.0,0.9083,0.0165,0.8900,0.9300,0.9050
64,1,64,200,128,0.003,0.0,0.8900,0.0187,0.8850,0.9150,0.8700
32,2,64,100,64,0.001,0.0,0.9050,0.0108,0.8950,0.9200,0.9000
16,1,64,400,64,0.001,0.0,0.6200,0.2086,0.4700,0.4750,0.9150
16,1,64,200,128,0.003,0.0005,0.8100,0.0286,0.8250,0.7700,0.8350
16,1,128,400,128,0.003,0.0005,0.8350,0.0334,0.7900,0.8450,0.8700
16,2,128,200,128,0.003,0.0005,0.8367,0.0125,0.8200,0.8400,0.8500
16,2,128,400,128,0.003,0.0005,0.8367,0.0125,0.8200,0.8400,0.8500
32,2,128,400,64,0.003,0.0,0.8817,0.0592,0.8800,0.9550,0.8100
64,1,64,400,128,0.001,0.0,0.9150,0.0147,0.9000,0.9350,0.9100
16,1,64,200,128,0.001,0.0005,0.5917,0.1981,0.4250,0.4800,0.8700
32,2,256,400,128,0.003,0.0005,0.8200,0.0294,0.7800,0.8300,0.8500
16,2,128,100,128,0.001,0.0005,0.8450,0.0122,0.8600,0.8450,0.8300
64,2,64,100,128,0.003,0.0,0.8983,0.0249,0.9050,0.9250,0.8650
64,1,128,400,128,0.001,0.0,0.7300,0.2723,0.3450,0.9150,0.9300
64,1,256,400,128,0.003,0.0005,0.8567,0.0266,0.8550,0.8900,0.8250
32,1,256,400,128,0.003,0.0,0.9033,0.0473,0.8500,0.9650,0.8950
16,2,128,400,64,0.001,0.0,0.9100,0.0216,0.8900,0.9400,0.9000
32,2,64,200,128,0.001,0.0005,0.8433,0.0094,0.8300,0.8500,0.8500
64,1,64,200,128,0.001,0.0005,0.8383,0.0165,0.8600,0.8350,0.8200
16,2,256,400,128,0.003,0.0,0.8867,0.0209,0.8650,0.9150,0.8800
64,2,256,100,128,0.003,0.0,0.8583,0.0504,0.9100,0.7900,0.8750
16,1,64,100,64,0.003,0.0005,0.8517,0.0205,0.8250,0.8750,0.8550
64,2,128,100,128,0.001,0.0,0.9117,0.0094,0.9050,0.9050,0.9250
64,2,256,100,128,0.001,0.0,0.8683,0.0085,0.8600,0.8800,0.8650
16,2,64,200,64,0.001,0.0005,0.8500,0.0178,0.8400,0.8750,0.8350
64,1,256,400,128,0.001,0.0005,0.8500,0.0216,0.8400,0.8800,0.8300
32,1,128,100,128,0.003,0.0,0.9000,0.0187,0.8750,0.9200,0.9050
